size,solutionFound,time
4,1,0.00022840499877929688
4,0,0.00024080276489257812
4,1,0.0002512931823730469
4,0,0.00015878677368164062
4,0,0.0002906322479248047
4,1,0.0003809928894042969
4,1,0.00040435791015625
4,1,0.000244140625
4,0,9.369850158691406e-05
4,1,0.00024080276489257812
4,0,0.0006833076477050781
4,0,7.2479248046875e-05
4,0,0.00015115737915039062
4,0,0.00028443336486816406
4,0,0.0004608631134033203
4,1,0.00023555755615234375
4,0,0.00034236907958984375
4,0,0.00029087066650390625
4,1,0.0003218650817871094
4,0,0.00023746490478515625
4,1,0.00032067298889160156
4,1,0.0005068778991699219
4,1,0.0003197193145751953
4,1,0.00034236907958984375
4,0,0.0007243156433105469
4,1,0.0003528594970703125
4,1,0.0002856254577636719
4,0,0.000156402587890625
4,1,0.000354766845703125
4,1,0.0002655982971191406
4,0,0.0002570152282714844
4,1,0.0002720355987548828
4,1,0.00030350685119628906
4,0,0.000274658203125
4,1,0.0002582073211669922
4,0,0.0003383159637451172
4,0,0.00010800361633300781
4,0,0.0004363059997558594
4,0,0.0002353191375732422
4,1,0.00029587745666503906
4,0,0.0002658367156982422
4,1,0.00043487548828125
4,0,0.00012922286987304688
4,0,0.0003070831298828125
4,0,0.00023174285888671875
4,1,0.0008642673492431641
