size,solutionFound,time
4,1,0.00010371208190917969
4,1,0.00012183189392089844
4,0,4.1961669921875e-05
4,0,4.3392181396484375e-05
4,1,0.00012350082397460938
4,0,3.552436828613281e-05
4,0,7.343292236328125e-05
4,1,0.00014257431030273438
4,1,8.225440979003906e-05
4,1,0.00015878677368164062
4,1,8.916854858398438e-05
4,1,6.985664367675781e-05
4,0,5.9604644775390625e-05
4,1,6.985664367675781e-05
4,0,5.6743621826171875e-05
4,1,0.00013971328735351562
4,0,6.651878356933594e-05
4,1,0.00012683868408203125
4,1,0.00011324882507324219
4,1,0.00010538101196289062
4,0,4.9114227294921875e-05
4,1,0.00011610984802246094
4,1,9.1552734375e-05
4,0,7.867813110351562e-05
4,1,0.00010657310485839844
4,1,8.869171142578125e-05
4,1,0.00010919570922851562
4,0,4.410743713378906e-05
4,0,3.981590270996094e-05
4,1,6.198883056640625e-05
4,0,4.100799560546875e-05
4,1,8.320808410644531e-05
4,0,6.437301635742188e-05
4,1,6.937980651855469e-05
4,1,9.655952453613281e-05
4,0,5.245208740234375e-05
4,0,4.076957702636719e-05
4,0,5.793571472167969e-05
4,1,9.608268737792969e-05
4,1,0.00012612342834472656
4,1,8.106231689453125e-05
4,0,4.863739013671875e-05
4,1,7.2479248046875e-05
4,0,5.054473876953125e-05
4,0,3.886222839355469e-05
4,0,3.743171691894531e-05
4,1,8.96453857421875e-05
4,0,4.363059997558594e-05
4,1,0.00010466575622558594
4,1,6.604194641113281e-05
4,0,3.7670135498046875e-05
4,1,6.890296936035156e-05
4,0,6.914138793945312e-05
4,1,5.698204040527344e-05
4,0,3.838539123535156e-05
4,0,5.435943603515625e-05
4,1,8.559226989746094e-05
4,0,6.508827209472656e-05
4,1,0.00012350082397460938
4,0,5.3882598876953125e-05
4,1,8.845329284667969e-05
4,1,8.20159912109375e-05
4,1,0.00010848045349121094
4,1,0.00011205673217773438
4,1,6.0558319091796875e-05
4,1,9.107589721679688e-05
4,1,3.910064697265625e-05
4,0,4.601478576660156e-05
4,1,3.695487976074219e-05
4,1,9.799003601074219e-05
4,1,6.508827209472656e-05
4,0,4.4345855712890625e-05
4,1,9.369850158691406e-05
4,0,4.9114227294921875e-05
4,1,8.416175842285156e-05
4,1,6.103515625e-05
4,0,4.5299530029296875e-05
